GEOID,County.x,Cox,Moore,Lashar,Wallace,Harding,Sefcik,Write-ins.x,County.y,Hogan,Jealous,Quinn,Schlakman,Write-ins.y,total_votes_hogan,pcthogan,total_votes_moore,pctmoore
24001,Allegany,13833,6390,279,143,267,0,17,Allegany,19224,3985,166,139,16,23530,81.69995750106247,20929,30.531797983659036
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,Anne Arundel,157202,69399,1366,1052,187,229206,68.58546460389344,168548,52.43313477466359
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,Baltimore City,58360,123609,1055,1491,176,184691,31.598724355815932,128573,87.8753704121394
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,Baltimore County,198122,122773,1633,1492,256,324276,61.09672007795828,225973,60.38863050010399
24009,Calvert,18447,14236,504,142,242,0,89,Calvert,29610,9216,303,130,25,39284,75.37419814682823,33660,42.29352346999406
24011,Caroline,6727,3276,176,56,140,0,21,Caroline,9489,1900,82,28,6,11505,82.47718383311604,10396,31.512120046171603
24013,Carroll,38969,25155,1515,436,561,0,301,Carroll,62445,11767,533,261,45,75051,83.20342167326218,66937,37.58011264323169
24015,Cecil,18159,8691,472,155,311,21,35,Cecil,27063,7354,353,154,15,34939,77.45785511892154,27823,31.23674657657334
24017,Charles,15096,33633,408,283,414,0,78,Charles,31756,32100,274,193,37,64360,49.34120571783717,49912,67.38459689052732
24019,Dorchester,6169,4341,139,69,157,0,19,Dorchester,9205,3043,72,39,8,12367,74.43195601196734,10894,39.847622544519915
24021,Frederick,44307,51423,1700,555,722,0,306,Frederick,72560,33355,746,499,59,107219,67.67457260373628,99013,51.93560441558179
24023,Garrett,8195,2402,194,52,138,0,15,Garrett,9472,1395,86,48,7,11008,86.04651162790698,10996,21.844307020734814
24025,Harford,51930,40837,2033,618,914,0,301,Harford,85259,24012,756,461,91,110579,77.10234312120747,96633,42.259890513592666
24027,Howard,33110,83690,2464,802,713,0,419,Howard,80574,61146,800,752,111,143383,56.194946402293155,121198,69.05229459232001
24029,Kent,3718,4256,106,56,93,0,10,Kent,6370,2222,43,57,2,8694,73.26892109500805,8239,51.656754460492785
24031,Montgomery,58701,227161,3443,2444,1677,0,768,Montgomery,180018,224029,1922,2110,349,408428,44.075822421577364,294194,77.21469506516108
24033,Prince George's,17937,179968,1081,1693,1984,0,314,Prince George's,89925,225889,1469,1423,279,318985,28.19098076712071,202977,88.664232893382
24035,Queen Anne's,12840,8577,416,120,212,0,89,Queen Anne's,19503,3268,99,86,15,22971,84.90270340864569,22254,38.54138581827986
24037,Saint Mary's,20670,14365,720,263,361,0,86,SaintÂ Mary's,30703,9084,410,170,27,40394,76.00881319007775,36465,39.39393939393939
24039,Somerset,3974,2254,67,46,81,0,6,Somerset,5203,2379,71,33,16,7702,67.55388210854323,6428,35.065339141257
24041,Talbot,7497,7989,289,70,128,0,44,Talbot,14081,3957,79,66,7,18190,77.41066520065971,16017,49.87825435474808
24043,Washington,27571,17006,646,257,483,0,75,Washington,38765,10894,491,268,43,50461,76.82170389013298,46038,36.9390503497111
24045,Wicomico,14612,12213,388,171,358,0,46,Wicomico,22659,10426,284,141,24,33534,67.57022723206299,27788,43.9506261695696
24047,Worcester,13433,8550,273,121,161,0,31,Worcester,18076,5437,148,82,12,23755,76.09345400968218,22569,37.883822942974874
